player_hand,dealer_upcard,result
QS-QD,4D,0
QS-QH,5C,0
JC-JS,7C,0
3C-3D,8S,0
JD-JC,QS,0
6H-6C,4S,1
QS-QD,6S,0
7D-7H,8C,0
2H-2S,10C,0
7D-7S,7C,1
10S-10H,9S,0
6C-6H,8S,0
KD-KH,10D,0
4C-4H,QC,0
3D-3H,AH,0
10S-10D,5D,0
QC-QD,QS,0
6H-6D,2D,1
QS-QD,4H,0
4C-4H,AC,0
10H-10S,2D,0
10S-10H,AC,0
4C-4H,4S,0
KH-KD,KC,0
4S-4C,AC,0
5S-5D,8C,0
5C-5H,9D,0
7D-7H,JH,0
JS-JH,9D,0
5D-5S,KD,0
KH-KD,5C,0
2S-2C,QC,0
5H-5D,KD,0
6D-6H,2H,1
2C-2D,3H,1
3H-3C,3S,1
2D-2H,QC,0
4C-4D,5S,1
2S-2C,5H,1
7D-7H,7S,1
3C-3S,6C,1
3S-3C,9S,0
5H-5D,8S,0
9S-9D,2H,1
6C-6H,8S,0
2D-2H,3H,1
QH-QC,9C,0
2H-2S,2D,1
7S-7H,AS,0
9D-9H,QH,0
7H-7S,7D,1
KC-KD,QS,0
KS-KC,3S,0
10C-10H,9S,0
3D-3C,4S,1
AH-AD,7H,1
4S-4H,QS,0
AS-AH,8D,1
7H-7D,4H,1
2S-2C,KD,0
6H-6S,7D,0
7H-7C,QC,0
8D-8H,2C,1
10D-10S,4H,0
7C-7H,QD,0
5C-5H,QC,0
3H-3C,6D,1
8C-8H,QH,1
JH-JS,7C,0
KH-KS,9D,0
5C-5D,QS,0
3D-3H,4S,1
10S-10D,AH,0
5S-5D,5C,0
9S-9D,8H,1
QD-QS,QC,0
9C-9H,KS,0
9H-9D,9C,1
4D-4C,7C,0
QC-QH,9D,0
KC-KS,2C,0
QD-QS,4D,0
AH-AC,AS,1
QS-QC,KS,0
2H-2D,KC,0
2S-2H,2D,1
4C-4D,7H,0
8H-8D,3S,1
5C-5D,QH,0
QD-QC,10C,0
QH-QC,QS,0
6C-6D,9D,0
4C-4H,KS,0
QD-QC,QS,0
AD-AH,5D,1
JD-JC,4H,0
AH-AD,3S,1
8H-8S,3S,1
KD-KH,3C,0
5D-5C,AD,0
8C-8D,4C,1
7H-7C,KS,0
AH-AD,3H,1
7S-7C,6D,1
3H-3D,QS,0
2H-2S,3H,1
2S-2D,3H,1
9D-9H,4H,1
QS-QC,9S,0
6H-6D,5C,1
4C-4H,6D,1
5D-5H,QH,0
7S-7C,JH,0
6C-6H,AC,0
2C-2D,JC,0
QD-QH,JH,0
9C-9S,JC,0
10C-10S,8H,0
KS-KH,4H,0
7H-7D,2D,1
8D-8H,5C,1
8H-8S,5C,1
3S-3C,9C,0
AH-AS,2D,1
JS-JH,6H,0
7D-7S,QH,0
4S-4C,KC,0
7S-7D,KC,0
7S-7D,10C,0
4H-4C,JC,0
6D-6S,KH,0
5D-5C,QS,0
QC-QH,9S,0
7S-7C,6H,1
2D-2S,8S,0
7C-7H,JS,0
KD-KC,JD,0
2S-2C,7C,1
AS-AD,QS,1
6D-6H,2C,1
2C-2H,6C,1
QH-QS,4S,0
2D-2H,8D,0
5D-5S,10C,0
4C-4H,6H,1
5D-5S,QH,0
7D-7H,4S,1
KC-KD,4S,0
9D-9S,7D,0
6D-6S,10C,0
KC-KS,7S,0
JS-JC,10C,0
6C-6H,2C,1
AC-AD,QS,1
9S-9D,10C,0
AD-AC,8C,1
6D-6H,10S,0
AD-AS,7S,1
AH-AS,7H,1
QH-QC,5H,0
2C-2S,6D,1
QC-QS,KD,0
3S-3C,9S,0
2D-2C,QH,0
3D-3H,7D,1
QS-QC,3C,0
JH-JS,3H,0
6H-6D,5D,1
AD-AS,QD,1
JS-JD,2D,0
QD-QS,3C,0
JC-JH,5D,0
3C-3S,2H,1
9H-9D,6D,1
KD-KH,AD,0
AH-AS,9S,1
9C-9H,2C,1
9D-9H,2S,1
QS-QC,6D,0
3C-3H,7S,1
AD-AC,6S,1
9C-9S,2D,1
2C-2S,6H,1
4C-4S,9C,0
QD-QC,5C,0
4D-4C,QC,0
8D-8H,KC,1
KS-KH,3H,0
8S-8D,3H,1
AH-AS,8C,1
10D-10C,4D,0
6C-6D,QH,0
9H-9D,10D,0
6D-6H,4S,1
QD-QH,5D,0
4S-4C,9S,0
2D-2C,4S,1
5C-5D,JD,0
2D-2H,JH,0
5H-5C,KC,0
8C-8S,JS,1
AH-AS,6S,1
6H-6D,5D,1
JH-JS,8D,0
2C-2D,3D,1
JC-JS,6C,0
3S-3H,2D,1
JH-JS,AD,0
9S-9H,10S,0
AD-AC,3D,1
JH-JS,3H,0
10H-10S,8D,0
3S-3D,6S,1
JD-JC,6D,0
8H-8C,3D,1
10H-10S,2D,0
10D-10S,5H,0
KD-KH,3C,0
6C-6D,QD,0
3D-3H,10C,0
QC-QS,KH,0
4H-4C,JC,0
KS-KD,AD,0
JC-JH,8S,0
KS-KD,4S,0
3S-3D,7S,1
AH-AD,4H,1
AC-AD,9D,1
8S-8H,5H,1
8S-8D,5H,1
10S-10C,KD,0
4C-4H,5S,1
7H-7C,JC,0
JS-JC,8S,0
4C-4D,9D,0
5D-5C,KS,0
8C-8S,3H,1
KH-KS,3D,0
AS-AH,6S,1
7C-7D,JC,0
10D-10S,JS,0
9C-9D,9H,1
JD-JS,4C,0
3C-3H,2C,1
3H-3D,2C,1
4C-4H,AS,0
2D-2S,9D,0
AH-AC,KH,1
5H-5S,QC,0
JC-JH,4D,0
AS-AH,3H,1
10S-10D,2C,0
4D-4C,2D,0
AS-AD,9C,1
JH-JS,7C,0
4D-4C,AC,0
QC-QH,QS,0
JH-JD,10S,0
2S-2D,5S,1
2S-2H,5S,1
QH-QC,3C,0
JC-JD,10C,0
8D-8C,5S,1
10D-10S,5C,0
10S-10C,2S,0
QC-QH,10C,0
6D-6C,6S,1
QS-QC,6H,0
QS-QD,JH,0
AD-AH,6D,1
8D-8S,3C,1
10S-10H,8S,0
3C-3H,10S,0
KD-KS,4C,0
2H-2S,7H,1
2H-2C,7H,1
10S-10H,10D,0
JS-JH,9D,0
7S-7D,2D,1
KS-KC,4C,0
6S-6D,JH,0
2H-2S,3D,1
2H-2C,3D,1
7S-7C,5H,1
9H-9C,JC,0
3D-3S,8D,0
8D-8C,3S,1
JC-JD,7H,0
2D-2S,QH,0
2C-2S,8S,0
AD-AH,8S,1
QS-QH,2C,0
9H-9D,6S,1
8H-8S,4D,1
3D-3H,9D,0
8C-8H,3C,1
KC-KH,QH,0
4C-4H,10H,0
AS-AC,8H,1
KS-KD,7S,0
2C-2S,4S,1
QH-QC,6D,0
3S-3D,9D,0
10H-10D,7S,0
2S-2H,10H,0
5S-5C,9D,0
5S-5D,2C,0
2S-2D,4C,1
7C-7D,3D,1
QD-QS,7S,0
4C-4H,10D,0
AH-AC,4H,1
2S-2H,AH,0
KC-KD,6H,0
6S-6H,7C,0
9S-9C,4C,1
QD-QC,2C,0
3D-3C,5C,1
QC-QS,3C,0
AD-AC,2H,1
QH-QD,10C,0
9H-9S,7H,0
7S-7C,3C,1
6C-6S,3C,1
6C-6S,3H,1
10H-10D,9S,0
9C-9D,KC,0
9H-9S,2S,1
JC-JH,KH,0
2S-2D,JH,0
2H-2D,JD,0
8S-8D,6H,1
4H-4C,AC,0
9S-9D,6C,1
2C-2D,JH,0
KD-KS,5S,0
10H-10C,QS,0
8D-8H,6H,1
4H-4D,6S,1
6C-6D,3S,1
5C-5H,2D,0
JC-JD,3C,0
9S-9H,3D,1
2D-2C,9H,0
3H-3D,5C,1
JS-JC,KC,0
4S-4H,4C,0
7S-7C,9C,0
QD-QC,3H,0
AH-AC,KC,1
3S-3D,7H,1
8S-8C,8H,1
7C-7D,7S,1
6C-6S,7D,0
4S-4C,2D,0
8H-8D,5D,1
8H-8S,5D,1
10D-10H,5C,0
2C-2S,6D,1
QS-QH,JH,0
QC-QH,7D,0
8H-8S,7C,1
JH-JD,2H,0
4S-4H,AC,0
8S-8H,4D,1
7H-7C,KH,0
3S-3D,7H,1
AD-AC,8H,1
4C-4D,QD,0
10C-10S,QC,0
3C-3H,QS,0
8D-8C,7S,1
QH-QD,9D,0
7S-7D,8S,0
7S-7H,10C,0
5H-5S,2D,0
4C-4D,4H,0
6H-6D,2H,1
2D-2C,QD,0
7C-7D,3C,1
8S-8C,7H,1
7C-7S,4H,1
QC-QS,AS,0
7S-7D,9D,0
JS-JC,2S,0
4S-4C,JD,0
KH-KD,3H,0
AC-AH,10D,1
9H-9D,KC,0
KC-KD,JC,0
JD-JC,10S,0
5D-5S,9C,0
3H-3C,4D,1
10D-10S,3C,0
KS-KH,QS,0
KD-KC,AD,0
8H-8D,4C,1
KD-KS,8S,0
AC-AD,10C,1
7S-7H,6C,1
8D-8S,5C,1
9H-9C,9D,1
7S-7D,QC,0
QS-QH,8H,0
10H-10S,7S,0
AH-AD,8D,1
AS-AC,4C,1
KS-KC,3D,0
4S-4C,8H,0
2H-2D,9H,0
QH-QC,2D,0
5S-5D,KS,0
10C-10H,6S,0
9S-9C,5D,1
AS-AH,8H,1
6S-6C,8D,0
6C-6D,2D,1
3H-3D,6C,1
JS-JH,KD,0
3S-3H,10C,0
4C-4S,10S,0
6H-6S,5D,1
JS-JH,QD,0
KC-KS,QD,0
4S-4D,4H,0
3S-3H,7D,1
3H-3D,7D,1
7D-7S,KS,0
KD-KH,7S,0
QS-QC,10S,0
9C-9D,2H,1
7H-7S,QC,0
4D-4S,2H,0
8C-8D,KC,1
3H-3D,4H,1
QS-QH,4C,0
9D-9C,5C,1
KC-KD,6S,0
8C-8S,QS,1
KS-KC,3C,0
10D-10C,2H,0
6C-6S,4D,1
KS-KD,7D,0
3H-3D,7D,1
4H-4D,9D,0
5S-5C,2C,0
8C-8H,5D,1
5C-5H,JD,0
6S-6H,9S,0
10S-10D,5D,0
7D-7H,8C,0
10C-10S,8D,0
QD-QC,5H,0
9D-9C,3C,1
6D-6H,7C,0
QC-QH,9S,0
10C-10D,4S,0
2D-2S,JS,0
JS-JC,7S,0
4D-4S,6H,1
JS-JC,9C,0
6H-6D,JS,0
3D-3S,7S,1
2C-2S,8S,0
3H-3D,6D,1
4S-4D,4C,0
3H-3D,5S,1
2D-2S,4C,1
AC-AH,10H,1
JC-JH,10C,0
QH-QD,JS,0
JC-JD,7D,0
2C-2H,10D,0
5C-5H,8H,0
4S-4H,8H,0
AC-AS,2S,1
5D-5S,8D,0
AH-AC,2D,1
9D-9H,AS,0
8C-8D,JH,1
10D-10H,6S,0
AC-AH,AD,1
9C-9D,AS,0
2D-2H,KH,0
10D-10C,8C,0
KS-KC,8D,0
9C-9H,8H,1
KS-KD,5C,0
3D-3S,4S,1
6H-6S,AD,0
JS-JD,8D,0
KS-KD,3C,0
QH-QD,7S,0
9D-9C,10C,0
3C-3H,8S,0
3H-3C,5S,1
4H-4S,3D,0
8S-8D,2S,1
JH-JS,3S,0
7H-7S,KS,0
7D-7C,6D,1
KC-KS,9H,0
6S-6C,JH,0
9D-9C,4H,1
10S-10C,4D,0
8D-8H,5D,1
4H-4D,7S,0
JC-JH,2D,0
5S-5D,7D,0
9D-9S,KH,0
10C-10D,4C,0
5H-5D,JD,0
6H-6D,4H,1
QC-QH,JD,0
AC-AS,9D,1
QC-QS,8S,0
9D-9H,6H,1
2S-2D,QD,0
5H-5D,9C,0
7S-7H,9H,0
5S-5H,AD,0
9C-9D,8H,1
JD-JH,QH,0
3C-3D,7H,1
2S-2H,8S,0
8C-8H,7C,1
KC-KH,3H,0
8H-8D,10C,1
KH-KS,7S,0
5D-5S,4S,0
JC-JH,KH,0
6H-6D,2C,1
9S-9D,2C,1
9C-9D,3D,1
2D-2S,4C,1
8C-8H,7D,1
8H-8D,7D,1
10D-10H,2S,0
10H-10S,KC,0
2S-2C,JC,0
3C-3S,5C,1
JD-JH,QS,0
KS-KC,2C,0
5C-5H,QD,0
2S-2H,7C,1
9D-9H,5S,1
2S-2D,8S,0
9H-9S,8H,1
9H-9C,8H,1
6S-6D,10D,0
10S-10D,9S,0
4D-4C,9D,0
5C-5S,8H,0
KH-KS,4S,0
8D-8C,2C,1
3D-3H,2H,1
6H-6C,8D,0
QS-QC,3D,0
KD-KH,7H,0
QC-QD,4D,0
5D-5S,2S,0
9H-9D,5H,1
4D-4H,KS,0
QD-QH,KD,0
8D-8S,10D,1
4D-4C,5D,1
4D-4H,5D,1
3H-3D,7C,1
8S-8C,QD,1
4D-4C,KC,0
9C-9S,8D,1
7S-7C,3D,1
3C-3S,6S,1
AD-AC,JC,1
KH-KC,2C,0
AS-AD,QS,1
8D-8S,KC,1
8S-8C,KC,1
9H-9C,4D,1
QH-QS,JH,0
7S-7C,7D,1
3H-3D,9H,0
AD-AS,6S,1
6H-6C,KD,0
QS-QD,9D,0
5C-5H,QS,0
7D-7C,9S,0
7C-7D,4S,1
9D-9H,2H,1
10S-10D,2S,0
JH-JD,7D,0
QS-QC,8C,0
3H-3D,3S,1
9H-9C,2H,1
5H-5D,6D,0
JD-JC,7S,0
9S-9D,7D,0
5C-5H,9C,0
JD-JH,5S,0
3C-3D,7D,1
3S-3D,3C,1
9C-9S,3H,1
KS-KD,5S,0
7D-7S,KS,0
10C-10S,5D,0
4C-4H,10H,0
4S-4C,QH,0
7S-7D,KH,0
QS-QD,KC,0
8S-8C,KD,1
AS-AH,3H,1
JD-JH,AD,0
6H-6S,6D,1
KC-KS,8H,0
9H-9S,3D,1
10S-10C,JS,0
3D-3H,5C,1
QC-QD,4D,0
4C-4S,KC,0
JD-JH,KC,0
8C-8H,5D,1
KC-KS,AS,0
6S-6C,QD,0
7H-7D,3H,1
9S-9D,7D,0
7H-7D,QC,0
KS-KC,8H,0
QC-QS,7D,0
6D-6H,7D,0
8S-8D,3D,1
8S-8C,4D,1
10C-10H,5S,0
QH-QD,8D,0
AD-AC,QS,1
JC-JD,6D,0
AD-AH,8C,1
AS-AD,8S,1
JS-JC,KD,0
7D-7C,3H,1
5S-5D,4H,0
9S-9H,QC,0
4D-4C,2D,0
KH-KD,AS,0
5C-5H,AD,0
5H-5S,7H,0
2S-2D,KS,0
JS-JD,KC,0
JC-JD,4D,0
5S-5H,3D,0
3H-3D,2H,1
10S-10C,7C,0
2H-2S,JC,0
5D-5C,AC,0
2S-2H,4C,1
KD-KS,6H,0
JC-JS,10S,0
5H-5S,QH,0
7S-7H,9D,0
KC-KS,AC,0
3S-3C,10D,0
2S-2H,8H,0
QS-QC,3C,0
10D-10S,KH,0
8S-8C,9D,1
10D-10S,QS,0
6S-6C,2S,1
AH-AC,JS,1
AS-AC,6S,1
9S-9C,QD,0
9D-9H,2H,1
4D-4H,3S,0
6H-6S,4D,1
7S-7D,8C,0
9D-9H,3S,1
9H-9S,3S,1
QH-QC,7C,0
KH-KC,QD,0
KD-KH,7D,0
JD-JS,8C,0
KD-KC,10C,0
4C-4S,7D,0
2C-2H,4H,1
6S-6C,3H,1
QD-QH,2H,0
10C-10D,3D,0
KH-KC,QH,0
4C-4H,AC,0
KS-KH,9S,0
3C-3H,6D,1
2H-2C,KD,0
QH-QS,10D,0
7S-7D,3S,1
JC-JD,QS,0
JC-JH,9H,0
KD-KS,10S,0
9S-9C,6S,1
10S-10H,8C,0
7S-7C,6D,1
6H-6C,KD,0
9H-9S,7H,0
KH-KD,9C,0
KD-KC,7C,0
5D-5C,2S,0
6D-6H,7C,0
2H-2S,JD,0
3S-3C,7D,1
3C-3D,7D,1
6S-6C,JC,0
2S-2H,JD,0
4H-4D,8C,0
JD-JC,KD,0
7S-7D,3D,1
QS-QC,2H,0
4S-4H,8S,0
8S-8D,5C,1
KS-KH,AD,0
AC-AS,8S,1
9S-9H,8C,1
AH-AD,7H,1
9H-9S,2H,1
6D-6H,KD,0
9H-9D,7C,0
2C-2H,8H,0
JH-JD,KS,0
2C-2S,KD,0
9D-9C,KH,0
10C-10S,AD,0
JD-JH,AD,0
2S-2H,5C,1
7C-7D,8H,0
9S-9H,6C,1
9H-9C,6C,1
5D-5C,JH,0
7S-7H,KS,0
6D-6H,AD,0
4D-4H,7S,0
AD-AH,JS,1
JH-JS,8S,0
AD-AC,4C,1
6D-6S,JH,0
9C-9S,8D,1
8D-8C,KS,1
4H-4S,10H,0
5D-5C,7C,0
QH-QD,6D,0
QD-QS,KD,0
AS-AD,JC,1
AH-AC,JH,1
JH-JD,8H,0
AH-AS,3H,1
4D-4H,9D,0
QC-QS,2D,0
8C-8S,JD,1
JD-JH,8S,0
6H-6C,6D,1
2D-2H,KD,0
JS-JH,2C,0
3C-3S,4H,1
4D-4C,8C,0
AD-AH,9C,1
9S-9C,10H,0
JH-JS,2S,0
5S-5C,2D,0
5D-5H,4S,0
2S-2C,KH,0
3C-3H,AC,0
10D-10C,9D,0
AD-AS,7D,1
5D-5H,2C,0
8D-8S,2D,1
7H-7D,4H,1
7D-7S,6S,1
7C-7D,9H,0
3C-3H,8H,0
9S-9D,5C,1
4D-4C,7C,0
4H-4S,10D,0
KC-KS,9S,0
3C-3D,8C,0
2H-2S,9D,0
AH-AS,8S,1
3S-3D,2H,1
7H-7C,9S,0
8D-8H,JH,1
4D-4H,6D,1
3S-3D,4C,1
KS-KD,QD,0
2C-2D,KD,0
2S-2H,6H,1
7D-7S,6H,1
2D-2H,JC,0
JC-JD,QC,0
JD-JH,9D,0
4C-4D,6H,1
9H-9D,6D,1
9S-9H,JH,0
JS-JC,4H,0
QH-QS,9C,0
AD-AH,9H,1
JC-JH,5H,0
KD-KH,3C,0
2H-2C,QH,0
3S-3D,6S,1
9D-9H,KS,0
AS-AH,6H,1
6H-6S,9D,0
AC-AH,3D,1
JH-JC,5C,0
3S-3H,6C,1
KS-KC,5D,0
10C-10D,6S,0
7C-7S,4S,1
8S-8H,JS,1
4C-4H,9H,0
6D-6S,KD,0
4H-4D,KC,0
JC-JH,7D,0
6D-6S,4C,1
3H-3D,KS,0
4S-4C,AC,0
6H-6C,9H,0
KC-KH,QD,0
4C-4D,QH,0
JH-JC,4C,0
4C-4S,10H,0
KD-KC,2H,0
8S-8D,6D,1
8S-8H,6D,1
AH-AS,10S,1
7S-7C,3C,1
JD-JH,5S,0
AC-AD,2C,1
2S-2C,5S,1
9S-9C,KC,0
5C-5S,2H,0
6C-6S,7S,0
8S-8C,QS,1
QC-QD,AH,0
KC-KH,4D,0
6H-6D,10H,0
6D-6C,9D,0
7D-7C,AD,0
QS-QD,10D,0
2D-2S,5D,1
KS-KD,AS,0
7D-7S,9S,0
3S-3D,5H,1
JH-JD,AC,0
10S-10H,3S,0
2C-2H,6D,1
3H-3C,AC,0
6S-6H,JS,0
6C-6H,6S,1
4S-4C,7C,0
7S-7C,7H,1
3C-3D,JS,0
3H-3D,6D,1
JD-JS,10S,0
2C-2S,3H,1
6D-6C,10H,0
JC-JD,8H,0
AC-AD,JH,1
7H-7C,KC,0
7C-7S,AH,0
JS-JC,KS,0
4C-4H,5H,1
2D-2C,6C,1
7C-7H,KC,0
2H-2D,JH,0
6H-6D,7S,0
5C-5S,KD,0
2S-2C,5H,1
8C-8D,9H,1
10S-10C,7C,0
2H-2D,10S,0
JD-JS,6H,0
2S-2H,7S,1
3D-3C,2H,1
9C-9S,JH,0
QS-QD,3S,0
10S-10H,7S,0
JC-JD,3C,0
AH-AD,5D,1
JC-JD,7H,0
9C-9S,8S,1
KH-KD,6S,0
8S-8D,3C,1
8C-8D,3S,1
QD-QC,JS,0
AS-AH,6D,1
2S-2D,JD,0
7C-7S,9H,0
8D-8C,8S,1
9S-9D,3S,1
JH-JS,10C,0
JD-JH,6H,0
8D-8C,JH,1
8C-8S,JH,1
QD-QH,6C,0
JC-JS,6H,0
KH-KD,8H,0
3D-3H,QD,0
9D-9C,KC,0
4S-4H,10S,0
2H-2D,JD,0
10D-10S,9D,0
JC-JD,QH,0
6D-6H,2H,1
4C-4S,8S,0
JD-JC,8H,0
8S-8H,JC,1
8S-8D,JC,1
10C-10D,KH,0
8D-8C,4S,1
8S-8D,10C,1
3H-3D,KD,0
6S-6D,9S,0
9D-9C,6S,1
6D-6C,3C,1
8D-8C,QS,1
QS-QC,JC,0
7D-7C,AH,0
JS-JH,QD,0
7S-7D,QS,0
AH-AC,8D,1
QC-QD,6H,0
6S-6D,7S,0
2D-2S,8D,0
4D-4S,9S,0
JH-JD,10S,0
3C-3S,2C,1
KD-KC,10S,0
AH-AC,7C,1
3D-3H,9H,0
6D-6H,10H,0
KC-KD,2C,0
KC-KH,8S,0
3H-3C,KC,0
5S-5C,3S,0
9D-9H,3C,1
JH-JD,8D,0
QS-QC,2C,0
3S-3D,2S,1
5D-5S,10S,0
2H-2C,KS,0
8C-8D,4H,1
AH-AC,10C,1
KC-KS,2D,0
3H-3C,9S,0
9S-9C,6H,1
QC-QD,KH,0
8C-8S,3D,1
AC-AD,QD,1
4D-4C,5D,1
9H-9C,JD,0
4H-4D,2H,0
KC-KD,2C,0
JD-JC,KC,0
10D-10S,9S,0
3D-3H,4D,1
QC-QH,6D,0
2C-2D,9H,0
JH-JC,3S,0
6C-6H,3D,1
KH-KD,4D,0
4S-4C,AS,0
KS-KC,4C,0
2C-2D,6C,1
8H-8S,2S,1
9D-9H,JH,0
2H-2D,10C,0
3C-3H,JH,0
7D-7H,5C,1
AS-AH,8D,1
9C-9D,3H,1
7S-7C,2H,1
6H-6C,5D,1
5H-5S,8C,0
QS-QH,QC,0
5S-5C,QH,0
2C-2D,10S,0
9S-9C,JD,0
10C-10S,7H,0
AH-AD,5D,1
QS-QH,10H,0
JC-JH,8C,0
3H-3S,4D,1
5H-5S,5D,0
4S-4C,8H,0
4S-4D,10C,0
AH-AD,AS,1
9H-9S,6C,1
5C-5H,10H,0
2S-2H,KS,0
8S-8D,4D,1
7C-7H,AD,0
10D-10C,8H,0
8D-8C,10S,1
9S-9H,3H,1
8S-8C,10S,1
KD-KC,QH,0
2C-2D,7H,1
4H-4D,KC,0
5C-5S,3H,0
5S-5H,6H,0
10C-10S,2S,0
QS-QH,7H,0
KS-KC,4S,0
4D-4C,AD,0
6C-6H,KC,0
6S-6H,2C,1
6H-6D,2C,1
8H-8D,KS,1
2S-2H,10D,0
2S-2D,7S,1
9D-9H,6S,1
8S-8C,5D,1
QC-QD,5D,0
2S-2C,6C,1
JC-JD,9S,0
8H-8D,8S,1
5C-5D,KD,0
3H-3D,AH,0
9S-9H,5H,1
5H-5D,3S,0
2D-2S,9D,0
AH-AD,8H,1
9H-9S,AC,0
5C-5S,7C,0
9D-9S,6S,1
JS-JC,AS,0
6C-6D,JC,0
5S-5C,KC,0
4S-4D,9C,0
3H-3S,JS,0
AS-AH,9D,1
KH-KD,QH,0
8D-8H,5C,1
4S-4C,4D,0
AS-AC,2S,1
AC-AD,9S,1
KC-KD,2S,0
5H-5C,8C,0
2C-2D,4S,1
2D-2H,4S,1
7H-7S,10D,0
QD-QH,7C,0
JD-JH,KS,0
KC-KS,AH,0
9S-9D,5S,1
10H-10S,QD,0
10H-10C,2S,0
8D-8C,KH,1
3H-3D,3C,1
KC-KH,9S,0
QS-QD,JD,0
KD-KS,QD,0
AS-AC,4H,1
KH-KC,7C,0
2D-2H,6S,1
5C-5S,7C,0
KC-KH,3D,0
JD-JC,3C,0
6H-6C,9D,0
QD-QH,KD,0
2D-2S,3H,1
2S-2H,3H,1
5C-5S,10C,0
2D-2H,9D,0
8H-8S,QC,1
6H-6D,9S,0
10S-10C,8H,0
5H-5D,JD,0
10C-10H,7C,0
5S-5D,KD,0
AC-AD,4C,1
JD-JH,6H,0
4C-4D,9D,0
3H-3D,8H,0
9D-9H,5D,1
5D-5H,3C,0
AD-AH,9C,1
4D-4C,10D,0
8H-8D,6S,1
9D-9S,2H,1
5C-5D,7S,0
10H-10C,AH,0
7S-7C,5S,1
8C-8H,JS,1
QH-QD,4S,0
6C-6H,5D,1
10H-10D,2C,0
6H-6C,9H,0
6H-6S,7C,0
4S-4D,KS,0
6H-6S,5S,1
3H-3S,QH,0
7C-7S,JC,0
KC-KH,6C,0
3D-3S,10C,0
5D-5H,7S,0
6C-6S,5D,1
3S-3D,10C,0
QH-QC,7S,0
KS-KC,2H,0
4C-4S,8S,0
8D-8C,7D,1
KD-KS,8S,0
5C-5D,6C,0
JS-JH,AS,0
2H-2S,AD,0
QS-QC,4H,0
9D-9H,KD,0
4D-4H,QS,0
QD-QS,9S,0
7S-7C,KC,0
6C-6H,3D,1
10C-10S,4S,0
5H-5C,9C,0
6S-6H,2C,1
3D-3C,9C,0
AD-AC,3H,1
8D-8C,KS,1
9S-9D,8D,1
5C-5H,6S,0
KC-KD,QH,0
JD-JC,QC,0
JD-JS,AD,0
KD-KH,3D,0
2D-2S,10C,0
9D-9C,2S,1
AH-AC,3C,1
6S-6H,10H,0
2C-2S,AS,0
8D-8C,AD,1
9S-9C,AC,0
2D-2H,JH,0
2H-2C,4H,1
9S-9C,5C,1
3H-3D,8S,0
8S-8D,JD,1
5H-5S,7C,0
7D-7S,2H,1
QC-QD,6S,0
KC-KD,JC,0
5C-5H,JH,0
